type;name;date;shop;street_adress;state;city;postal_code;country_code;pokemon_url;guid;latitude;longitude;when;status;totalPlayers;TCaccounts;juniors;seniors;masters;league;category;tournament_date;tournament_completed;date_added
"League Cup";"Mid Year Celebration";2026-06-28;"GAMESCAPE NORTH";"1225 4TH ST, SAN RAFAEL, CA 94901, USA";California;"San Rafael";;US;26-06-001017;fd7d7542-8f73-45b6-894c-7776318642bf;37.9731;-122.53;"2026-06-28 12:00:00";;0;0;0;0;0;6234083;;;;2026-05-07
"Pre Release";"Pitch Black Prerelease - SAT 10AM";2026-07-04;"VERSUS GAMES";"1716 TARAVAL ST, SF, CA 94116, US";California;"San Francisco";;US;26-07-002815;148f6860-c786-4ea6-ab1d-441c0fbb7d31;37.7429;-122.485;"2026-07-04 10:00:00";;0;0;0;0;0;6235470;;;;2026-06-06
"Pre Release";"Pitch Black Prerelease - SAT 2PM";2026-07-04;"VERSUS GAMES";"1716 TARAVAL ST, SF, CA 94116, US";California;"San Francisco";;US;26-07-002819;2108bff6-c1aa-4d34-bbf5-6e46a7f80fa3;37.7429;-122.485;"2026-07-04 14:00:00";;0;0;0;0;0;6235470;;;;2026-06-06
"Pre Release";"Pitch Black Prerelease - SAT 6PM";2026-07-04;"VERSUS GAMES";"1716 TARAVAL ST, SF, CA 94116, US";California;"San Francisco";;US;26-07-002826;79e59252-837d-4067-a3a9-24b8d116de9b;37.7429;-122.485;"2026-07-04 18:00:00";;0;0;0;0;0;6235470;;;;2026-06-06
"Pre Release";"Pitch Black Prerelease - SUN 2PM";2026-07-05;"VERSUS GAMES";"1716 TARAVAL ST, SF, CA 94116, US";California;"San Francisco";;US;26-07-002833;08d23730-1606-471f-a01a-fc7a3e4d5531;37.7429;-122.485;"2026-07-05 14:00:00";;0;0;0;0;0;6235470;;;;2026-06-06
"Pre Release";"Pitch Black Prerelease - SUN 10AM";2026-07-05;"VERSUS GAMES";"1716 TARAVAL ST, SF, CA 94116, US";California;"San Francisco";;US;26-07-002830;0f0054d2-eea9-4556-9a49-93458c164db2;37.7429;-122.485;"2026-07-05 10:00:00";;0;0;0;0;0;6235470;;;;2026-06-06
"Pre Release";"Pitch Black Prerelease";2026-07-05;"THE GAME PARLOUR";"1342 IRVING ST, SF, CA 94122, US";California;"San Francisco";;US;26-07-003658;6d9c047b-294c-49e0-b6e6-6cd9e17c8b54;37.764;-122.473;"2026-07-05 18:00:00";;0;0;0;0;0;6235617;;;;2026-06-06
"Pre Release";"Mega Evolutions: Pitch Black Prerelease";2026-07-08;"GAME POST OF SAN FRANCISCO";"689 3RD ST, SAN FRANCISCO, CA 94107, USA";California;"San Francisco";;US;26-07-005940;86cb2bcc-6fc9-40c1-8c16-86042dbca5ec;37.7792;-122.393;"2026-07-08 18:30:00";;0;0;0;0;0;6235146;;;;2026-06-09
"Pre Release";"Pokémon TCG: Mega Evolution—Pitch Black Prerelease!";2026-07-08;"GAME POST OF SAN FRANCISCO";"689 3RD ST, SAN FRANCISCO, CA 94107, USA";California;"San Francisco";;US;26-07-005695;ce0f06ae-2dc3-4282-92b1-3dc8723d9430;37.7792;-122.393;"2026-07-08 18:30:00";;0;0;0;0;0;6235146;;;;2026-06-09
"Pre Release";"Golden Gate Games Pitch Black Prerelease Friday 6PM";2026-07-09;"GOLDEN GATE GAMES";"1680 POST ST SUITE F, SAN FRANCISCO, CA 94115, USA";California;"San Francisco";;US;26-07-009496;2ff13bc3-50f7-48c1-bbae-3932637f197d;37.7859;-122.429;"2026-07-09 18:00:00";;0;0;0;0;0;25127209;;;;2026-06-16
"Pre Release";"Golden Gate Games Pitch Black Prerelease 1 of 2";2026-07-09;"GOLDEN GATE GAMES";"1680 POST ST SUITE F, SAN FRANCISCO, CA 94115, USA";California;"San Francisco";;US;26-07-007156;8c33fa7e-6a27-42da-9aae-ab91a911ee95;37.7859;-122.429;"2026-07-09 18:00:00";;0;0;0;0;0;6235146;;;;2026-06-11
"Pre Release";"Golden Gate Games Pitch Black Prerelease 2 of 2";2026-07-10;"GOLDEN GATE GAMES";"1680 POST ST SUITE F, SAN FRANCISCO, CA 94115, USA";California;"San Francisco";;US;26-07-007158;35a8077e-c4dc-48a2-9b76-1cfab201747b;37.7859;-122.429;"2026-07-10 18:00:00";;0;0;0;0;0;6235146;;;;2026-06-11
"Pre Release";"Golden Gate Games Pitch Black Prerelease Saturday 6PM";2026-07-10;"GOLDEN GATE GAMES";"1680 POST ST SUITE F, SAN FRANCISCO, CA 94115, USA";California;"San Francisco";;US;26-07-009499;f10afd35-659f-4c1f-b162-639b03f03d52;37.7859;-122.429;"2026-07-10 18:00:00";;0;0;0;0;0;25127209;;;;2026-06-16
"Pre Release";"Gophers Pitch Black";2026-07-11;"GAMERSGUILD OF PLEASENT HILL";"1928 CONTRA COSTA BLVD, PLEASANT HILL, CA 94523, USA";California;"Pleasant Hill";;US;26-07-005862;631493c1-2173-487e-9cdb-793834af5f2e;37.9483;-122.06;"2026-07-11 15:00:00";;0;0;0;0;0;26020297;;;;2026-06-09
"League Cup";"Versus Games SF Mid-Year Celebration";2026-07-18;"VERSUS GAMES";"1716 TARAVAL ST, SF, CA 94116, US";California;"San Francisco";;US;26-06-006126;5d4cfe22-764b-41bb-bb93-bea693e0bd06;37.7429;-122.485;"2026-07-18 11:00:00";;0;0;0;0;0;6235470;;;;2026-06-03
